id,name,state_id,state_code,country_id,country_code,latitude,longitude
23905,Baiersdorf,3009,BY,82,DE,49.65807,11.03594
23906,Baindt,3006,BW,82,DE,47.85,9.66667
23907,Baisweil,3009,BY,82,DE,47.94439,10.54007
23908,Bakum,3008,NI,82,DE,52.74118,8.19546
23909,Balge,3008,NI,82,DE,52.71667,9.16667
23910,Balingen,3006,BW,82,DE,48.27525,8.85464
23911,Balje,3008,NI,82,DE,53.83333,9.13333
23912,Ballenstedt,3011,ST,82,DE,51.719,11.23265
23913,Baltmannsweiler,3006,BW,82,DE,48.74215,9.4494
23914,Balve,3017,NW,82,DE,51.3315,7.86424
23915,Balzfeld,3006,BW,82,DE,49.26892,8.78919
23916,Balzhausen,3009,BY,82,DE,48.24228,10.49366
23917,Bamberg,3009,BY,82,DE,49.89873,10.90067
23918,Bamenohl,3017,NW,82,DE,51.16527,7.98412
23919,Bammental,3006,BW,82,DE,49.35611,8.77944
23920,Bann,3019,RP,82,DE,49.38333,7.61667
23921,Bannewitz,3021,SN,82,DE,50.99291,13.71712
23922,Banteln,3008,NI,82,DE,52.06667,9.75
23923,Banzkow,3007,MV,82,DE,53.52497,11.52306
23924,Barbing,3009,BY,82,DE,49,12.2
23925,Barby,3011,ST,82,DE,51.96711,11.88261
23926,Barchfeld,3015,TH,82,DE,50.82872,11.17955
23927,Bardowick,3008,NI,82,DE,53.29354,10.38811
23928,Barenburg,3008,NI,82,DE,52.61953,8.79999
23929,Barendorf,3008,NI,82,DE,53.22896,10.52158
23930,Bargfeld-Stegen,3005,SH,82,DE,53.76778,10.1875
23931,Bargstedt,3008,NI,82,DE,53.46667,9.45
23932,Bargteheide,3005,SH,82,DE,53.72856,10.26695
23933,Bark,3005,SH,82,DE,53.91146,10.17949
23934,Barkelsby,3005,SH,82,DE,54.5,9.83333
23935,Barleben,3011,ST,82,DE,52.20193,11.6177
23936,Barmbek-Nord,3016,HH,82,DE,53.6052,10.03988
23937,Barmstedt,3005,SH,82,DE,53.79209,9.76739
23938,Barnstorf,3008,NI,82,DE,52.71009,8.50256
23939,Barnstädt,3011,ST,82,DE,51.34401,11.63735
23940,Barntrup,3017,NW,82,DE,51.99038,9.11642
23941,Barsbüttel,3005,SH,82,DE,53.56667,10.16667
23942,Barsinghausen,3008,NI,82,DE,52.3,9.45
23943,Bartenshagen-Parkentin,3007,MV,82,DE,54.08116,11.97849
23944,Barth,3007,MV,82,DE,54.36346,12.72491
23945,Bartholomä,3006,BW,82,DE,48.7535,9.98752
23946,Barum,3008,NI,82,DE,53.35,10.4
23947,Baruth,3013,BB,82,DE,52.04468,13.5027
23948,Barver,3008,NI,82,DE,52.62066,8.59251
23949,Barwedel,3008,NI,82,DE,52.52192,10.77488
23950,Barßel,3008,NI,82,DE,53.16981,7.75012
23951,Basdahl,3008,NI,82,DE,53.44502,9.00025
23952,Bassenheim,3019,RP,82,DE,50.3582,7.45961
23953,Bassum,3008,NI,82,DE,52.85059,8.72791
23954,Bastheim,3009,BY,82,DE,50.4008,10.20372
23955,Bastorf,3007,MV,82,DE,54.12566,11.69695
